Rank, Descripción, 06/19, Part %, 06/18, Part %, 05/19, Part %, Var a-c, Var a-e, 01/19 a 06/19, Part %, 01/18 a 06/18, Part %, Var a c
36,Citroen C3,186,0,7%,454,0,9%,257,1,0%,-59,0%,-27,6%,1.752,1,0%,3.934,1,0%,-55,5%
37,Volkswagen SURAN,175,0,7%,725,1,5%,211,0,8%,-75,9%,-17,1%,5.088,2,8%,7.153,1,9%,-28,9%
38,Toyota RAV4,166,0,6%,108,0,2%,69,0,3%,53,7%,140,6%,404,0,2%,961,0,3%,-58,0%
39,Volkswagen VENTO,161,0,6%,95,0,2%,122,0,5%,69,5%,32,0%,1.030,0,6%,2.001,0,5%,-48,5%
40,Peugeot 301,159,0,6%,325,0,7%,161,0,6%,-51,1%,-1,2%,830,0,5%,2.237,0,6%,-62,9%
41,Peugeot 308,158,0,6%,515,1,1%,117,0,5%,-69,3%,35,0%,1.297,0,7%,4.388,1,2%,-70,4%
42,Chevrolet TRACKER,153,0,6%,798,1,6%,165,0,7%,-80,8%,-7,3%,2.614,1,4%,6.125,1,6%,-57,3%
43,Fiat UNO,153,0,6%,0,0%,207,0,8%,-26,1%,884,0,5%,0,0%
44,Honda WR-V,140,0,5%,0,0%,85,0,3%,64,7%,1.015,0,6%,0,0%
45,Renault KANGOO II,133,0,5%,276,0,6%,126,0,5%,-51,8%,5,6%,897,0,5%,299,0,1%,200,0%
46,Citroen C3,AIRCROSS,123,0,5%,234,0,5%,87,0,3%,-47,4%,41,4%,695,0,4%,2.000,0,5%,-65,3%
47,Peugeot PARTNER,111,0,4%,364,0,7%,113,0,5%,-69,5%,-1,8%,821,0,5%,2.949,0,8%,-72,2%
48,Citroen C4,LOUNGE,103,0,4%,519,1,1%,136,0,5%,-80,2%,-24,3%,917,0,5%,3.162,0,8%,-71,0%
49,Citroen C-ELYSEE,102,0,4%,245,0,5%,125,0,5%,-58,4%,-18,4%,617,0,3%,2.077,0,5%,-70,3%
50,Volkswagen FOX,97,0,4%,181,0,4%,89,0,4%,-46,4%,9,0%,612,0,3%,1.431,0,4%,-57,2%
51,OTROS,2.129,7,9%,4.745,9,6%,2.421,9,5%,-55,1%,-12,1%,16.486,9,0%,50.659,13,2%,-67,5%
